# name fluence width dm_obs dm_exc_ne2001 dm_exc_ymw16
FRB20190204A 2.019877 5.898240 449.384032 413.398092 423.012263
FRB20190204B 4.635827 3.932160 1464.907919 1419.184138 1424.882957
FRB20190205A 1.912712 1.966080 695.266814 627.313081 622.360959
FRB20190206C 4.175102 8.847361 1042.793770 1004.362290 1011.707244
FRB20190206B 4.726278 15.728641 351.483193 272.924744 259.467265
FRB20190206A 7.668523 7.864321 188.240761 146.755452 152.634858
FRB20190208B 37.799564 1.966080 714.252030 653.420300 652.981828
FRB20190210B 5.048681 1.966080 624.200851 508.085978 460.582209
FRB20190210C 3.955524 1.966080 643.360032 589.599266 592.386344
FRB20190210E 1.876377 1.966080 580.484276 522.836507 524.559925
FRB20190211A 5.766350 5.898239 1188.397434 1084.028334 1049.912777
FRB20190211B 1.249491 1.966080 260.714425 176.321889 169.724126
FRB20190212B 4.136112 1.966080 600.137323 559.054329 569.680270
FRB20190212C 8.552714 24.576002 1015.678959 993.379150 997.104798
FRB20190212D 6.139401 18.677757 1139.926172 1104.381167 1112.814341
FRB20190213C 0.741568 1.966081 356.959010 180.948738 119.821796
FRB20190213D 2.286439 1.966080 1346.630252 1112.118236 1097.164897
FRB20190214A 2.348213 19.660797 497.404889 427.499074 420.405519
FRB20190214C 6.938675 5.898242 532.829421 510.458143 510.514567
FRB20190215B 5.575911 2.949120 274.560917 139.576983 149.624056
FRB20190217A 1.170398 6.881280 798.290637 687.520944 650.810074
FRB20190217B 5.291183 10.813440 846.240148 800.340442 809.085918
FRB20190218A 1.733835 1.966080 1285.081155 1253.474782 1262.298808
FRB20190218B 7.138768 13.762560 548.006027 465.902957 482.365113
FRB20190218C 15.005613 1.966080 319.321314 275.496402 282.643393
FRB20190219A 0.893752 2.949120 657.000064 578.237176 561.708617
FRB20190219B 13.092795 17.694720 1680.788903 1642.944585 1650.039093
FRB20190219C 1.647532 3.932160 806.465979 682.156856 684.087226
FRB20190220A 0.922192 1.966080 216.111136 175.028087 181.531119
FRB20190221A 2.846818 2.949120 223.956654 171.298956 172.992223
FRB20190221B 5.153354 4.915200 392.833805 226.311845 238.822016
FRB20190221C 6.219214 15.728639 2041.657995 1821.345245 1669.921370
FRB20190221D 1.467025 1.966080 473.727492 282.595395 183.148199
FRB20190222B 4.961342 21.626882 497.970188 464.715476 475.478818
FRB20190222C 0.911401 1.966080 523.901458 494.434613 497.643201
FRB20190222D 1.078589 1.966080 895.234149 780.125751 806.793612
FRB20190223A 1.778389 2.949120 389.122159 330.571687 331.514073
FRB20190223B 0.622285 1.966080 536.619932 411.935544 372.223095
FRB20190224A 9.848228 18.677759 818.419112 752.472415 748.617667
FRB20190224B 2.094232 1.966080 839.301979 787.777566 791.953966
FRB20190224C 7.368493 6.881280 497.258426 437.422051 429.246165
FRB20190224E 4.209465 0.983040 435.861739 402.605297 411.316893
FRB20190226A 3.176259 1.966080 601.555178 510.050181 493.730405
FRB20190226C 1.602020 2.949120 827.679302 783.063603 791.993940
FRB20190227A 12.968694 3.932160 393.958276 330.437537 327.651038
FRB20190227B 0.627737 1.966080 331.200641 307.289402 308.956621
FRB20190228A 36.162123 27.525122 418.811282 398.610448 399.174468
FRB20190228B 29.377390 25.559036 1115.254698 1044.178534 1036.405435
FRB20190301B 1.211837 2.949120 621.584620 538.387778 521.129992
FRB20190301C 2.958376 9.830401 802.973107 782.449010 791.133256
FRB20190301D 1.723922 3.932160 1160.871501 1107.914977 1111.905837
FRB20190302A 37.263966 113.049609 1033.748841 824.102405 731.821686
FRB20190303B 45.510812 4.915200 193.518862 146.376460 153.314545
FRB20190303C 3.974693 4.915200 1089.572327 1066.609701 1070.423823
FRB20190303D 1.599501 1.966080 711.243410 674.203192 682.291126
FRB20190304A 3.869191 2.949120 483.497583 435.196742 441.143695
FRB20190304B 3.060456 2.949120 469.927730 447.230195 449.697343
FRB20190304C 1.316998 2.949120 564.965730 542.849557 542.485028
FRB20190308C 5.658821 21.626880 500.473706 477.466237 480.401532
FRB20190308C 5.658821 21.626880 500.473706 477.466237 480.401532
FRB20190308B 2.721570 1.966080 180.192217 111.555936 105.599228
FRB20190309A 0.886695 1.966080 356.873670 298.129380 303.899330
FRB20190313B 2.537515 7.864320 1191.160988 1131.225325 1131.219819
FRB20190316A 2.266859 1.966080 515.798455 476.875492 485.174624
FRB20190317A 1.338374 1.966080 1157.226589 1019.389845 964.109049
FRB20190317B 2.289013 1.966080 424.269173 343.510659 326.475552
FRB20190317C 9.159828 17.694720 598.346320 544.375112 543.953819
FRB20190317D 8.500804 7.864320 1117.969492 1084.095842 1091.561758
FRB20190317E 6.883811 4.915200 800.597485 665.505528 695.111826
FRB20190318A 16.116182 12.779520 419.259026 333.550800 318.344615
FRB20190319A 17.810974 8.847360 2039.256037 1931.948465 1898.004878
FRB20190320A 4.439112 4.915200 614.032236 469.810614 399.482679
FRB20190320B 1.771575 3.932160 489.487608 451.917657 458.931681
FRB20190320C 2.885652 3.932160 368.748619 321.680437 331.248402
FRB20190320D 11.190551 47.185921 1139.059210 1095.123181 1101.523663
FRB20190322A 11.065504 23.592962 1060.233192 996.714077 993.030402
FRB20190322B 1.974977 1.966080 577.032977 529.913438 536.324396
FRB20190322C 13.527182 2.949120 1192.001149 1126.325677 1126.054515
FRB20190323A 2.594249 3.932160 857.523750 784.768783 768.853961
FRB20190323B 11.169234 1.966080 789.530492 749.195197 756.432106
FRB20190323C 1.054786 2.949120 381.102498 357.526118 360.863849
FRB20190323D 2.157827 16.711679 763.212335 600.651521 557.344415
FRB20190325A 4.676490 5.898240 359.168524 307.976159 312.505053
FRB20190325B 2.789882 6.881280 1733.708062 1713.768895 1714.465187
FRB20190325C 3.807077 7.864320 797.818771 610.040073 501.072214
FRB20190326A 1.066051 1.966080 283.287427 242.256860 250.257189
FRB20190326B 2.885563 1.966080 814.699097 774.945802 783.212261
FRB20190327A 5.425437 1.966080 346.607751 257.593424 269.974770
FRB20190328A 3.682593 10.813441 1303.668488 1251.817448 1256.245345
FRB20190328B 1.877882 1.966080 564.775502 514.164173 518.900009
FRB20190328C 14.900000 4.915200 472.712574 408.011502 404.998139
FRB20190330A 1.101994 1.966080 508.935216 484.121534 488.517793
